BOS,PHO,LAL,PHI,ORL,MIN,NYK,SAC,DAL,NOP,CHH,DET,DEN,MIA
0.25,0.199,0.156,0.119,0.088,0.063,0.043,0.028,0.017,0.011,0.008,0.007,0.006,0.005
0.215,0.188,0.157,0.126,0.097,0.071,0.049,0.033,0.02,0.013,0.009,0.008,0.007,0.006
0.178,0.171,0.156,0.133,0.107,0.081,0.058,0.039,0.024,0.016,0.012,0.01,0.009,0.007
0.357,0.319,0.226,0.099,0,0,0,0,0,0,0,0,0,0
0,0.123,0.265,0.351,0.261,0,0,0,0,0,0,0,0,0
0,0,0.04,0.16,0.36,0.439,0,0,0,0,0,0,0,0
0,0,0,0.012,0.084,0.305,0.599,0,0,0,0,0,0,0
0,0,0,0,0.004,0.04,0.232,0.724,0,0,0,0,0,0
0,0,0,0,0,0.001,0.018,0.168,0.813,0,0,0,0,0
0,0,0,0,0,0,0,0.008,0.122,0.87,0,0,0,0
0,0,0,0,0,0,0,0,0.004,0.089,0.907,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0.063,0.935,0,0
0,0,0,0,0,0,0,0,0,0,0.001,0.039,0.96,0
0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.982
