Pick,BOS,PHO,LAL,PHI,ORL,MIN,NYK,SAC,DAL,NOP,CHH,DET,DEN,MIA,
1,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
3,0.143,0.143,0.143,0.143,0.143,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
4,0.571,0.245,0.105,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
5,0.000,0.327,0.280,0.207,0.187,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
6,0.000,0.000,0.187,0.207,0.280,0.327,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
7,0.000,0.000,0.000,0.079,0.105,0.245,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.143,0.143,0.143,0.143,0.143,0.143,
9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.143,0.143,0.143,0.143,0.143,0.143,
10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.143,0.143,0.143,0.143,0.143,0.143,0.143,
11,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.571,0.245,0.105,0.079,0.000,0.000,0.000,
12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.327,0.280,0.207,0.187,0.000,0.000,
13,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.207,0.280,0.327,0.000,
14,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.079,0.105,0.245,0.571,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
